Subject,CourseCode,Class Nbr,Course Title,Location,Inst Last Nm
ASU,101,13023,The ASU Experience,TEMPE,Staff
ASU,101,30641,The ASU Experience,TEMPE,Staff
ASU,101,31622,The ASU Experience,TEMPE,Staff
ASU,101,31623,Special Topics,TEMPE,Staff
CPI,101,12069,Introduction to Informatics,TEMPE,hansford
CPI,111,19589,Game Development I,TEMPE,Yoshi
CPI,200,16390,Math Foundation of Informatics,TEMPE,hansford
CPI,211,12302,Game Development II,TEMPE,Selgrad
CPI,221,18204,Advan Obj Orient Prin w/Java,TEMPE,Selgrad
CPI,321,12662,Fundamentals of Game Art,TEMPE,yoshi
CPI,350,14056,Eval of Informatics Systems,TEMPE,atkinson
CPI,411,17633,Civic informatics,TEMPE,yoshi
CPI,441,12597,Graphics for Games,TEMPE,Yoshi
CSE,100,11257,Gaming Capstone,TEMPE,Staff
CSE,100,22208,Informatics Capstone I,TEMPE,Feng
CSE,100,22209,Informatics Capstone I,TEMPE,Feng
CSE,100,11241,Informatics Capstone II,TEMPE,Staff
CSE,100,11320,Prin of Programming with C++,TEMPE,Staff
CSE,100,15635,Prin of Programming with C++,TEMPE,Feng
CSE,100,22207,Prin of Programming with C++,TEMPE,Feng
CSE,100,11226,Prin of Programming with C++,TEMPE,Possible Kevin
CSE,100,13822,Prin of Programming with C++,TEMPE,Feng
CSE,100,16391,Prin of Programming with C++,TEMPE,Feng
CSE,100,17628,Prin of Programming with C++,TEMPE,Feng
CSE,100,16392,Prin of Programming with C++,TEMPE,Feng
CSE,100,22206,Prin of Programming with C++,TEMPE,Staff
CSE,100,11229,Prin of Programming with C++,TEMPE,Staff
CSE,100,11265,Prin of Programming with C++,TEMPE,Staff
CSE,110,29097,Prin of Programming with C++,TEMPE,miller
CSE,110,29096,Prin of Programming with C++,TEMPE,miller
CSE,110,11321,Prin of Programming with C++,TEMPE,Staff
CSE,110,29092,Prin of Programming with C++,TEMPE,miller
CSE,110,29109,Principles of Programming,TEMPE,Miller
CSE,110,11335,Principles of Programming,TEMPE,Staff
CSE,110,29104,Principles of Programming,TEMPE,faye
CSE,110,29099,Principles of Programming,TEMPE,faye
CSE,110,29106,Principles of Programming,TEMPE,faye
CSE,110,16393,Principles of Programming,TEMPE,miller
CSE,110,15650,Principles of Programming,TEMPE,Staff
CSE,110,17635,Principles of Programming,TEMPE,Staff
CSE,110,29095,Principles of Programming,TEMPE,miller
CSE,110,19590,Principles of Programming,TEMPE,Staff
CSE,110,29094,Principles of Programming,TEMPE,miller
CSE,110,29101,Principles of Programming,TEMPE,faye
CSE,110,29107,Principles of Programming,TEMPE,faye
CSE,110,11232,Principles of Programming,TEMPE,Possible Kevin
CSE,110,22210,Principles of Programming,TEMPE,Staff
CSE,110,29105,Principles of Programming,TEMPE,faye
CSE,110,29093,Principles of Programming,TEMPE,miller
CSE,110,29103,Principles of Programming,TEMPE,faye
CSE,110,11251,Principles of Programming,TEMPE,Staff
CSE,110,29102,Principles of Programming,TEMPE,faye
CSE,110,29098,Principles of Programming,TEMPE,miller
CSE,120,11224,Principles of Programming,TEMPE,Hartin
CSE,120,11295,Principles of Programming,TEMPE,Millman
CSE,120,11356,Principles of Programming,TEMPE,Matar
CSE,120,13386,Principles of Programming,TEMPE,Millman
CSE,120,15568,Principles of Programming,TEMPE,Goryll
CSE,120,17577,Principles of Programming,TEMPE,Ewaisha
CSE,120,20447,Principles of Programming,TEMPE,Matar
CSE,120,22050,Object-Oriented Program & Data,TEMPE,Millman
CSE,120,28713,Object-Oriented Program & Data,TEMPE,Staff
CSE,205,11343,Object-Oriented Program & Data,ICOURSE,faye
CSE,205,15990,Object-Oriented Program & Data,TEMPE,mutsumi
CSE,205,20461,Object-Oriented Program & Data,TEMPE,faye
CSE,205,16400,Object-Oriented Program & Data,TEMPE,feng
CSE,205,11333,Programming for Computer Engr,TEMPE,miller
CSE,205,11261,Computer Org/Assemb Lang Prog,TEMPE,mutsumi
CSE,205,12775,Computer Org/Assemb Lang Prog,TEMPE,feng
CSE,220,11300,Intro to Programming Languages,TEMPE,Yalin Wang
CSE,230,11217,Intro to Programming Languages,TEMPE,calliss
CSE,230,15654,Logic in Computer Science,TEMPE,mutsumi
CSE,240,13806,Logic in Computer Science,TEMPE,chen
CSE,240,30957,Logic in Computer Science,TEMPE,Chen
CSE,240,11262,Logic in Computer Science,TEMPE,selgrad
CSE,259,21266,Computing Ethics,TEMPE,Steve Osburn
CSE,259,21243,Data Structures and Algorithms,TEMPE,Steve Osburn
CSE,259,21267,Data Structures and Algorithms,TEMPE,Steve Osburn
CSE,259,22355,Data Structures and Algorithms,TEMPE,Steve Osburn
CSE,310,19683,Data Structures and Algorithms,ICOURSE,xue
CSE,310,27283,Data Structures and Algorithms,TEMPE,xue
CSE,310,23306,Data Structures and Algorithms,TEMPE,yezhou yang
CSE,310,29114,Data Structures and Algorithms,TEMPE,xue
CSE,310,19682,Data Structures and Algorithms,TEMPE,xue
CSE,310,23309,Data Structures and Algorithms,TEMPE,xue
CSE,310,11724,Data Structures and Algorithms,TEMPE,xue
CSE,310,19687,Data Structures and Algorithms,TEMPE,xue
CSE,310,23307,Data Structures and Algorithms,TEMPE,xue
CSE,310,19688,Data Structures and Algorithms,TEMPE,xue
CSE,310,23310,Design/Syn Digital Hardware,TEMPE,yezhou yang
CSE,310,19684,Design/Syn Digital Hardware,TEMPE,xue
CSE,310,23308,Design/Syn Digital Hardware,TEMPE,yezhou yang
